Month,Month Key,Lead Source,New Leads,Qualified Leads,Qualification Rate,Acquisition Spend
2024-01-01,2024-01,Organic Search,327,199,0.6085626911314985,5886
2024-01-01,2024-01,Paid Ads,276,132,0.4782608695652174,17112
2024-01-01,2024-01,Referral,189,127,0.671957671957672,2268
2024-01-01,2024-01,Events,143,79,0.5524475524475524,10582
2024-01-01,2024-01,Outbound,145,57,0.3931034482758621,5945
2024-02-01,2024-02,Organic Search,342,209,0.6111111111111112,6156
2024-02-01,2024-02,Paid Ads,281,135,0.4804270462633452,17422
2024-02-01,2024-02,Referral,196,131,0.6683673469387755,2352
2024-02-01,2024-02,Events,155,85,0.5483870967741935,11470
2024-02-01,2024-02,Outbound,163,64,0.39263803680981596,6683
2024-03-01,2024-03,Organic Search,332,203,0.6114457831325302,5976
2024-03-01,2024-03,Paid Ads,278,133,0.4784172661870504,17236
2024-03-01,2024-03,Referral,204,137,0.6715686274509803,2448
2024-03-01,2024-03,Events,166,91,0.5481927710843374,12284
2024-03-01,2024-03,Outbound,172,67,0.38953488372093026,7052
2024-04-01,2024-04,Organic Search,329,201,0.6109422492401215,5922
2024-04-01,2024-04,Paid Ads,288,138,0.4791666666666667,17856
2024-04-01,2024-04,Referral,218,146,0.6697247706422018,2616
2024-04-01,2024-04,Events,175,96,0.5485714285714286,12950
2024-04-01,2024-04,Outbound,173,67,0.3872832369942196,7093
2024-05-01,2024-05,Organic Search,359,219,0.6100278551532033,6462
2024-05-01,2024-05,Paid Ads,325,156,0.48,20150
2024-05-01,2024-05,Referral,242,162,0.6694214876033058,2904
2024-05-01,2024-05,Events,186,102,0.5483870967741935,13764
2024-05-01,2024-05,Outbound,178,69,0.38764044943820225,7298
2024-06-01,2024-06,Organic Search,363,221,0.6088154269972452,6534
2024-06-01,2024-06,Paid Ads,323,155,0.47987616099071206,20026
2024-06-01,2024-06,Referral,230,154,0.6695652173913044,2760
2024-06-01,2024-06,Events,172,95,0.5523255813953488,12728
2024-06-01,2024-06,Outbound,165,64,0.3878787878787879,6765
2024-07-01,2024-07,Organic Search,336,205,0.6101190476190477,6048
2024-07-01,2024-07,Paid Ads,287,138,0.4808362369337979,17794
2024-07-01,2024-07,Referral,198,133,0.6717171717171717,2376
2024-07-01,2024-07,Events,148,81,0.5472972972972973,10952
2024-07-01,2024-07,Outbound,148,58,0.3918918918918919,6068
2024-08-01,2024-08,Organic Search,341,208,0.6099706744868035,6138
2024-08-01,2024-08,Paid Ads,281,135,0.4804270462633452,17422
2024-08-01,2024-08,Referral,195,131,0.6717948717948717,2340
2024-08-01,2024-08,Events,152,84,0.5526315789473685,11248
2024-08-01,2024-08,Outbound,159,62,0.389937106918239,6519
2024-09-01,2024-09,Organic Search,369,225,0.6097560975609756,6642
2024-09-01,2024-09,Paid Ads,306,147,0.4803921568627451,18972
2024-09-01,2024-09,Referral,221,148,0.669683257918552,2652
2024-09-01,2024-09,Events,180,99,0.55,13320
2024-09-01,2024-09,Outbound,187,73,0.39037433155080214,7667
2024-10-01,2024-10,Organic Search,367,224,0.6103542234332425,6606
2024-10-01,2024-10,Paid Ads,317,152,0.4794952681388013,19654
2024-10-01,2024-10,Referral,239,160,0.6694560669456067,2868
2024-10-01,2024-10,Events,193,106,0.5492227979274611,14282
2024-10-01,2024-10,Outbound,194,76,0.3917525773195876,7954
2024-11-01,2024-11,Organic Search,367,224,0.6103542234332425,6606
2024-11-01,2024-11,Paid Ads,330,158,0.47878787878787876,20460
2024-11-01,2024-11,Referral,248,166,0.6693548387096774,2976
2024-11-01,2024-11,Events,193,106,0.5492227979274611,14282
2024-11-01,2024-11,Outbound,186,73,0.3924731182795699,7626
