Month,Month Key,New Leads,Lead Target,Qualified Leads,Opportunities,Won Deals,Average Deal Size,Won Revenue,Revenue Target,Pipeline Value,Sales Cycle Days,New Customers,Churn Rate,Lead Qualification Rate,Opportunity Conversion,Win Rate,Target Attainment
2024-01-01,2024-01,1074,1110,569,273,85,18300,1555500,1585000,13239000,52,85,0.032,0.5297951582867784,0.4797891036906854,0.31135531135531136,0.9813880126182966
2024-02-01,2024-02,1147,1147,617,296,93,18200,1692600,1629000,14276000,53,93,0.03180627179219269,0.5379250217959896,0.47974068071312803,0.3141891891891892,1.0390423572744014
2024-03-01,2024-03,1170,1220,638,305,97,18000,1746000,1713000,14549000,54,97,0.031243852478020872,0.5452991452991452,0.4780564263322884,0.3180327868852459,1.0192644483362523
2024-04-01,2024-04,1192,1269,657,312,100,17800,1780000,1762000,14717000,55,100,0.03036722030036991,0.5511744966442953,0.4748858447488584,0.32051282051282054,1.0102156640181612
2024-05-01,2024-05,1281,1305,710,334,108,17600,1900800,1792000,15578000,55,108,0.029261289449581077,0.5542544886807181,0.4704225352112676,0.32335329341317365,1.0607142857142857
2024-06-01,2024-06,1234,1244,685,319,104,17400,1809600,1689000,14709000,54,104,0.028033184926495435,0.5551053484602917,0.4656934306569343,0.32601880877742945,1.0714031971580817
2024-07-01,2024-07,1106,1171,611,282,92,17400,1600800,1590000,13003000,54,92,0.026801865975241704,0.5524412296564195,0.46153846153846156,0.3262411347517731,1.0067924528301886
2024-08-01,2024-08,1133,1196,621,283,93,17400,1618200,1624000,13049000,52,93,0.025686603202652668,0.5481023830538394,0.4557165861513688,0.3286219081272085,0.9964285714285714
2024-09-01,2024-09,1283,1293,695,314,103,17500,1802500,1765000,14562000,51,103,0.024795425537812266,0.5416991426344505,0.45179856115107914,0.32802547770700635,1.0212464589235128
2024-10-01,2024-10,1325,1354,707,316,103,17700,1823100,1870000,14822000,50,103,0.02421465610664422,0.5335849056603773,0.44695898161244696,0.3259493670886076,0.9749197860962567
2024-11-01,2024-11,1320,1403,693,308,101,17900,1807900,1959000,14610000,49,101,0.024000550619673253,0.525,0.4444444444444444,0.32792207792207795,0.9228688106176621
2024-12-01,2024-12,1410,1464,730,322,105,18100,1900500,2067000,15445000,49,105,0.02417384821303567,0.5177304964539007,0.4410958904109589,0.32608695652173914,0.9194484760522497
2025-01-01,2025-01,1241,1243,634,279,90,19600,1764000,1901000,14491000,46,90,0.02271776257064176,0.5108783239323127,0.4400630914826498,0.3225806451612903,0.9279326670173593
2025-02-01,2025-02,1238,1284,627,276,88,19600,1724800,1963000,14335000,47,88,0.02357960791564167,0.5064620355411955,0.44019138755980863,0.3188405797101449,0.8786551197147223
2025-03-01,2025-03,1285,1366,649,286,90,19500,1755000,2078000,14779000,48,90,0.024675902370988448,0.5050583657587548,0.4406779661016949,0.3146853146853147,0.8445620789220404
2025-04-01,2025-04,1388,1421,702,311,97,19300,1872100,2140000,15906000,50,97,0.025900454356650393,0.5057636887608069,0.443019943019943,0.31189710610932475,0.8748130841121495
2025-05-01,2025-05,1448,1462,738,330,102,19100,1948200,2179000,16703000,51,102,0.027134648741852903,0.5096685082872928,0.44715447154471544,0.3090909090909091,0.8940798531436439
2025-06-01,2025-06,1326,1394,684,309,94,18900,1776600,2055000,15476000,52,94,0.028258936393430426,0.5158371040723982,0.4517543859649123,0.3042071197411003,0.8645255474452554
2025-07-01,2025-07,1241,1312,649,296,89,18700,1664300,1914000,14668000,52,89,0.029164414195482956,0.5229653505237711,0.4560862865947612,0.30067567567567566,0.8695402298850575
2025-08-01,2025-08,1325,1339,704,324,97,18700,1813900,1953000,16056000,52,97,0.029763373852110017,0.5313207547169811,0.4602272727272727,0.2993827160493827,0.9287762416794675
2025-09-01,2025-09,1421,1448,766,357,106,18800,1992800,2124000,17786000,51,106,0.029997797672897994,0.5390570021111893,0.4660574412532637,0.2969187675070028,0.9382297551789077
2025-10-01,2025-10,1432,1517,782,368,108,18900,2041200,2237000,18431000,50,108,0.02984497840451259,0.5460893854748603,0.47058823529411764,0.29347826086956524,0.9124720607957085
2025-11-01,2025-11,1509,1571,832,395,116,19200,2227200,2353000,20098000,49,116,0.02931971874844517,0.5513585155732273,0.47475961538461536,0.2936708860759494,0.9465363365915852
2025-12-01,2025-12,1623,1640,900,430,126,19400,2444400,2482000,22106000,47,126,0.028472897510597436,0.5545286506469501,0.4777777777777778,0.2930232558139535,0.9848509266720387
2026-01-01,2026-01,1333,1377,739,354,103,20900,2152700,2245000,19606000,43,103,0.025386541271340105,0.5543885971492873,0.4790257104194858,0.2909604519774011,0.9588864142538975
2026-02-01,2026-02,1338,1422,739,355,104,20900,2173600,2319000,19662000,43,104,0.024165878954308977,0.5523168908819133,0.4803788903924222,0.29295774647887324,0.9373005605864597
2026-03-01,2026-03,1471,1513,805,386,114,20900,2382600,2467000,21379000,43,114,0.022929148921012235,0.5472467709041469,0.4795031055900621,0.29533678756476683,0.9657884069720308
2026-04-01,2026-04,1557,1573,841,402,119,20800,2475200,2553000,22158000,44,119,0.021796145917895908,0.5401412973667309,0.4780023781212842,0.2960199004975124,0.9695260477869173
2026-05-01,2026-05,1548,1619,824,391,117,20600,2410200,2602000,21345000,45,117,0.020876617265577005,0.5322997416020672,0.47451456310679613,0.29923273657289,0.9262874711760184
2026-06-01,2026-06,1461,1543,766,361,109,20300,2212700,2444000,19420000,46,109,0.020259632282976135,0.5242984257357974,0.47127937336814624,0.30193905817174516,0.9053600654664484
2026-07-01,2026-07,1430,1452,738,345,105,20200,2121000,2288000,18468000,47,105,0.020004954667554944,0.5160839160839161,0.46747967479674796,0.30434782608695654,0.9270104895104895
2026-08-01,2026-08,1459,1483,745,344,106,20100,2130600,2326000,18323000,48,106,0.020137253538315525,0.5106237148732008,0.46174496644295304,0.3081395348837209,0.9159931212381771
2026-09-01,2026-09,1519,1604,769,352,110,20100,2211000,2515000,18749000,49,110,0.020643713883694192,0.5062541145490455,0.4577373211963589,0.3125,0.8791252485089464
2026-10-01,2026-10,1608,1679,812,367,116,20200,2343200,2646000,19646000,49,116,0.021475277876173097,0.5049751243781094,0.45197044334975367,0.31607629427792916,0.8855631141345427
2026-11-01,2026-11,1719,1740,871,390,124,20400,2529600,2769000,21083000,48,124,0.022551396814782233,0.5066899360093078,0.44776119402985076,0.31794871794871793,0.9135427952329361
2026-12-01,2026-12,1763,1815,900,400,129,20600,2657400,2917000,21836000,47,129,0.02376783340283947,0.5104934770277936,0.4444444444444444,0.3225,0.9110044566335276
